id,links,prefix,select tags,selected tags
1,timesonline.co.uk,QB0GaK7,"Technology, Fashion, Food, Travel, Sports, Music, Art, Health, Education, Finance",
2,merriam-webster.com,8oUTDyz,"Technology, Fashion, Food, Travel, Sports, Music, Art, Health, Education, Finance",
3,newyorker.com,Z9i2o9o,"Technology, Fashion, Food, Travel, Sports, Music, Art, Health, Education, Finance",
4,angelfire.com,pW44f49,"Technology, Fashion, Food, Travel, Sports, Music, Art, Health, Education, Finance",
5,rambler.ru,w1vDJvP,"Technology, Fashion, Food, Travel, Sports, Music, Art, Health, Education, Finance",
6,timesonline.co.uk,Uz3Uq87,"Technology, Fashion, Food, Travel, Sports, Music, Art, Health, Education, Finance",
7,state.gov,PwT2wMc,"Technology, Fashion, Food, Travel, Sports, Music, Art, Health, Education, Finance",
8,youtube.com,c1TO1x6,"Technology, Fashion, Food, Travel, Sports, Music, Art, Health, Education, Finance",
9,washingtonpost.com,4KtfXaU,"Technology, Fashion, Food, Travel, Sports, Music, Art, Health, Education, Finance",
10,icq.com,nh294Ty,"Technology, Fashion, Food, Travel, Sports, Music, Art, Health, Education, Finance",
